"method","lead_time","t","twcrps","owcrps"
"ENS",6,8,0.394321533082761,0.777433353330286
"ENS",6,9,0.31027753498574,0.780389716105538
"ENS",6,10,0.243851811978902,0.767675398725329
"ENS",6,11,0.191553267850744,0.776301808564594
"ENS",6,12,0.150056093013482,0.772238362939516
"ENS",6,13,0.117288889107397,0.785849627603342
"ENS",6,14,0.0912375432186741,0.786203913549567
"ENS",6,15,0.0705445066253301,0.802509312608959
"ENS",6,16,0.054427872646684,0.828502683744964
"ENS",6,17,0.0421124071170104,0.847293347523616
"ENS",6,18,0.0325186446881691,0.959953963311336
"ENS",6,19,0.0252714899833133,1.01758407992393
"ENS",6,20,0.0195451895734209,1.04546837113225
"ENS",7,0,1.28558485571634,1.28037598789142
"ENS",7,1,1.28308383316697,1.27849153038009
"ENS",7,2,1.24756684258609,1.18900517091324
"ENS",7,3,1.13344340928769,1.02229345023466
"ENS",7,4,0.983255228380941,0.927743071912712
"ENS",7,5,0.824619242912505,0.85699610112023
"ENS",7,6,0.6710825525278,0.791284965247477
"ENS",7,7,0.533338107495716,0.752685658114843
"ENS",7,8,0.418276890833182,0.734285601676442
"ENS",7,9,0.325431440623738,0.729886278925768
"ENS",7,10,0.251781078752724,0.715909745295349
"ENS",7,11,0.195254833857191,0.727485351804845
"ENS",7,12,0.151468948067877,0.732921722555773
"ENS",7,13,0.117534730800487,0.745275299573054
"ENS",7,14,0.0913182890991818,0.768159930287986
"ENS",7,15,0.0706575348750819,0.786815793909242
"ENS",7,16,0.0542929436827613,0.819737481087828
"ENS",7,17,0.0415402926604801,0.836534270655508
"ENS",7,18,0.0317729785751582,0.910350770645188
"ENS",7,19,0.0244736625890183,0.933305324860791
"ENS",7,20,0.0188089368243669,0.95203281623356
"ENS",8,0,1.28225915748916,1.27910141500425
"ENS",8,1,1.28083517166475,1.27793699719152
"ENS",8,2,1.25827993397612,1.21937811438235
"ENS",8,3,1.17034634618862,1.07543172079836
"ENS",8,4,1.03636177326345,0.967502360557944
"ENS",8,5,0.883444699949707,0.880735927636702
"ENS",8,6,0.728276377926027,0.804274616981092
"ENS",8,7,0.582696588311249,0.754829252373436
"ENS",8,8,0.457648157420655,0.724725820255704
"ENS",8,9,0.354647686684162,0.699624077581818
"ENS",8,10,0.271137103828258,0.674506606077288
"ENS",8,11,0.206995576099001,0.677859226202031
"ENS",8,12,0.158941990477105,0.688051824644221
"ENS",8,13,0.122481680096019,0.708295130677934
"ENS",8,14,0.0943258115852395,0.725832224904658
"ENS",8,15,0.0724166699171964,0.750835883157689
