method,lead_time,t,twcrps,owcrps
MBM,0,16,0.0381043861522447,0.350991925432687
MBM,0,17,0.0290130105757131,0.335898872861473
MBM,0,18,0.0222243346495803,0.380139555692461
MBM,0,19,0.0170410600375308,0.376101932428901
MBM,0,20,0.0131751788080516,0.380602753076319
MBM_SEA,0,0,0.929117181425506,0.922340674576968
MBM_SEA,0,1,0.922162022264847,0.920409302899999
MBM_SEA,0,2,0.873732935205254,0.854878454475306
MBM_SEA,0,3,0.76746504654052,0.710893983228857
MBM_SEA,0,4,0.646959904509599,0.590512146592449
MBM_SEA,0,5,0.530942732169451,0.501164928227437
MBM_SEA,0,6,0.428585144804117,0.435442243140883
MBM_SEA,0,7,0.34295613396759,0.3982784196661
MBM_SEA,0,8,0.273570040895226,0.386187327529467
MBM_SEA,0,9,0.217548385878901,0.39003280302423
MBM_SEA,0,10,0.172462439762378,0.381139314297278
MBM_SEA,0,11,0.136523870641824,0.391885977627097
MBM_SEA,0,12,0.107022963843271,0.388019888243118
MBM_SEA,0,13,0.0834063997339542,0.374622729310937
MBM_SEA,0,14,0.0647740372440389,0.367747518138668
MBM_SEA,0,15,0.0497798117206878,0.363769216186946
MBM_SEA,0,16,0.0379341103934134,0.340059884957855
MBM_SEA,0,17,0.0289538626161081,0.318987896276901
MBM_SEA,0,18,0.0222542443090693,0.360797840131207
MBM_SEA,0,19,0.0171135413242059,0.350796084804208
MBM_SEA,0,20,0.0132600333176785,0.347621028472307
IDR,0,0,0.907479708472255,0.900982358742036
IDR,0,1,0.903235492828195,0.898677286855348
IDR,0,2,0.859988796597436,0.824004884536998
IDR,0,3,0.758917749537455,0.682602651928583
IDR,0,4,0.642496984506822,0.558561657019868
IDR,0,5,0.529331520589623,0.458300735719994
IDR,0,6,0.428763944643632,0.380573944205821
IDR,0,7,0.344162589819289,0.329908301511671
IDR,0,8,0.27496991033986,0.299833748881904
IDR,0,9,0.218651466038408,0.282954070442507
IDR,0,10,0.173608951932516,0.309821153921438
IDR,0,11,0.138043996282943,0.300456189806681
IDR,0,12,0.108642464498772,0.285060203071009
IDR,0,13,0.0848483522331254,0.260185272280461
IDR,0,14,0.066083651389398,0.243848153804785
IDR,0,15,0.0508455445967219,0.23136017903353
IDR,0,16,0.0387219052964542,0.219653711746213
IDR,0,17,0.0293793188838361,0.200339191148323
IDR,0,18,0.0224305764700757,0.187029012687064
IDR,0,19,0.0170517544906929,0.174858642279694
IDR,0,20,0.0130657274692673,0.171492934659231
QRF_LOC,0,0,0.792241862053542,0.786438035232656
QRF_LOC,0,1,0.788009741448584,0.784438831982887
QRF_LOC,0,2,0.748649172034356,0.721659320239817
QRF_LOC,0,3,0.659595522372894,0.601423956464514
QRF_LOC,0,4,0.558482747923344,0.492343865801784
QRF_LOC,0,5,0.460012263155925,0.405731630542707
QRF_LOC,0,6,0.371979987648017,0.347442227010098
QRF_LOC,0,7,0.297696617823666,0.312139616136711
QRF_LOC,0,8,0.237035536349292,0.287219954891867
QRF_LOC,0,9,0.187354122589218,0.272078839836721
QRF_LOC,0,10,0.147545823526695,0.300409217821598
QRF_LOC,0,11,0.116132395061835,0.294626528845251
QRF_LOC,0,12,0.090710133186267,0.280666906190178
QRF_LOC,0,13,0.0704203588516599,0.264310231523513
QRF_LOC,0,14,0.05456656865712,0.253690089530127
QRF_LOC,0,15,0.0418190833809149,0.243421318062881
QRF_LOC,0,16,0.0317237961864639,0.220518201444525
QRF_LOC,0,17,0.0239266628938361,0.203536009822181
QRF_LOC,0,18,0.0181298523984522,0.194278655302849
QRF_LOC,0,19,0.0137260424772733,0.181215271776333
QRF_LOC,0,20,0.0104695498218141,0.1775180836799
QRF_GLO,0,0,0.807178637265056,0.801115440729418
QRF_GLO,0,1,0.802933522179781,0.799013841638662
QRF_GLO,0,2,0.762619361904782,0.732958481250317
QRF_GLO,0,3,0.670678847693173,0.607674869038419
QRF_GLO,0,4,0.566509971741273,0.495701179094267
QRF_GLO,0,5,0.465493799798322,0.404732162365591
QRF_GLO,0,6,0.375660003803727,0.338466931315466
QRF_GLO,0,7,0.299747447735358,0.296316368906995
QRF_GLO,0,8,0.237629289772033,0.268622148268481
QRF_GLO,0,9,0.187040644013672,0.251939737530862
QRF_GLO,0,10,0.146770086625738,0.275909968184932
QRF_GLO,0,11,0.115239061791185,0.271937486352046
QRF_GLO,0,12,0.0897740213168244,0.258761603649489
QRF_GLO,0,13,0.0694971796525086,0.242135444751706
QRF_GLO,0,14,0.0536480416978084,0.23249418308771
QRF_GLO,0,15,0.0409821370383991,0.221543501522905
QRF_GLO,0,16,0.030979562063913,0.205212193812634
QRF_GLO,0,17,0.0233413997773359,0.183521050827783
QRF_GLO,0,18,0.0177763821737418,0.1763407323541
QRF_GLO,0,19,0.0135907020371013,0.164048428434882
QRF_GLO,0,20,0.0104689869598561,0.159874260847971
DRN,0,0,0.749915382361217,0.744626155141766
DRN,0,1,0.745419361969047,0.744570827907724
DRN,0,2,0.707139835715026,0.690162302018847
DRN,0,3,0.622082053555128,0.573030882916602
DRN,0,4,0.527049792202672,0.470399670883943
DRN,0,5,0.434157783965535,0.389562083952078
DRN,0,6,0.351071715339704,0.32795594347021
DRN,0,7,0.280635332402669,0.284716110645
DRN,0,8,0.223528902690369,0.254104649631395
DRN,0,9,0.176782113709159,0.229190409732945
DRN,0,10,0.138959898299906,0.202996074246403
DRN,0,11,0.109232064223167,0.189573506662248
