"method","lead_time","t","twcrps","owcrps"
"HEN",2,4,0.533574712296823,0.469051537105264
"HEN",2,5,0.437656974462383,0.374641211565895
"HEN",2,6,0.352494330876585,0.292043583004406
"HEN",2,7,0.281059353074218,0.228651818662603
"HEN",2,8,0.222375090400533,0.177657391520312
"HEN",2,9,0.175257696935271,0.139455178674474
"HEN",2,10,0.137805783512873,0.105620311181669
"HEN",2,11,0.108226092583189,0.0819495209888411
"HEN",2,12,0.084886472304873,0.0638807315042751
"HEN",2,13,0.0663571053152305,0.0476860003266581
"HEN",2,14,0.0516859050886501,0.0362560840198116
"HEN",2,15,0.0397906962119184,0.0273482127202095
"HEN",2,16,0.0299786698597246,0.0208125985473258
"HEN",2,17,0.0227778804487776,0.0153906784766119
"HEN",2,18,0.0175643432822483,0.0139396189980905
"HEN",2,19,0.0136498900138343,0.0103704987420915
"HEN",2,20,0.0106636026505978,0.00844306326916241
"HEN",3,0,0.783597924949737,0.77776159950805
"HEN",3,1,0.778306812449315,0.778397954903358
"HEN",3,2,0.736325638595937,0.707949344098828
"HEN",3,3,0.645372347522617,0.585268975148809
"HEN",3,4,0.543817907941275,0.475900708628892
"HEN",3,5,0.4455150038095,0.37982421645527
"HEN",3,6,0.357849068194865,0.292947780225893
"HEN",3,7,0.284771466550257,0.228542431851787
"HEN",3,8,0.225274758452398,0.179028222281062
"HEN",3,9,0.177595850284069,0.14070226987582
"HEN",3,10,0.139880898928587,0.107047774726998
"HEN",3,11,0.109756009931495,0.0819800514423779
"HEN",3,12,0.0856071852800506,0.0629747957929575
"HEN",3,13,0.0663544324313237,0.0470209431701975
"HEN",3,14,0.0513229626182081,0.0353129526229131
"HEN",3,15,0.0391247415018974,0.0268481407791261
"HEN",3,16,0.0297824202984591,0.0204524636182937
"HEN",3,17,0.0225241810317993,0.0149117087350855
"HEN",3,18,0.0170582194964384,0.013630613732718
"HEN",3,19,0.0129346494035074,0.0105322113502356
"HEN",3,20,0.00986121317845485,0.00840491744944699
"HEN",4,0,0.79520355414128,0.788133657885839
"HEN",4,1,0.789762081131522,0.79340372061563
"HEN",4,2,0.747014555925189,0.715999709493355
"HEN",4,3,0.649112256353864,0.588100721916663
"HEN",4,4,0.546347566391182,0.477983256133734
"HEN",4,5,0.447257523702348,0.380024459985514
"HEN",4,6,0.359061097146401,0.29451388140781
"HEN",4,7,0.285440675526578,0.229243418092628
"HEN",4,8,0.225505221538512,0.17901642299271
"HEN",4,9,0.177434026486872,0.140834825673049
"HEN",4,10,0.13940959637735,0.105875823063514
"HEN",4,11,0.109209280574407,0.0814309387821007
"HEN",4,12,0.084801603066519,0.0618844871180018
"HEN",4,13,0.0655418632753687,0.0468508374170688
"HEN",4,14,0.0506999482155948,0.0356053947647242
"HEN",4,15,0.0388538520320477,0.0272165632076589
"HEN",4,16,0.0294876964709929,0.0205060148519785
"HEN",4,17,0.0222855554360446,0.0151832278615513
"HEN",4,18,0.0168893397895217,0.0134593560580306
"HEN",4,19,0.0129069128197597,0.00987100063168529
"HEN",4,20,0.00990700754572005,0.00758379401201421
"HEN",5,0,0.803346806396702,0.79603898244544
"HEN",5,1,0.797882352057891,0.801051447091862
"HEN",5,2,0.755647513857909,0.724599152388141
"HEN",5,3,0.660172210652473,0.598632962918521
"HEN",5,4,0.557972968612246,0.487674128176117
"HEN",5,5,0.458332104413089,0.392275999026789
"HEN",5,6,0.368961016051443,0.303336837858405
"HEN",5,7,0.294004318908716,0.237981050363738
"HEN",5,8,0.232483978058505,0.186448025591665
"HEN",5,9,0.183045656810794,0.147797422321409
"HEN",5,10,0.143950325770107,0.110044476947681
"HEN",5,11,0.111617947775799,0.0823262763398399
"HEN",5,12,0.0854895561858423,0.0622133147802693
"HEN",5,13,0.0655270883114061,0.0469458158740945
