,"European Union Emissions Trading System",,,," "
Date,"Exchange rate EUR/EUR","Exchange rate EUR/USD","Market Currency","Primary Market"," "
2020-12-08,1,1.216972727,EUR,29.69," "
2020-12-09,1,1.216972727,EUR,," "
2020-12-10,1,1.216972727,EUR,30.04," "
2020-12-11,1,1.216972727,EUR,30.45," "
2020-12-14,1,1.216972727,EUR,30.92," "
2020-12-15,1,1.216972727,EUR,," "
2020-12-16,1,1.216972727,EUR,," "
2020-12-17,1,1.216972727,EUR,," "
2020-12-18,1,1.216972727,EUR,," "
2020-12-21,1,1.216972727,EUR,," "
2020-12-22,1,1.216972727,EUR,," "
2020-12-23,1,1.216972727,EUR,," "
2020-12-28,1,1.216972727,EUR,," "
2020-12-29,1,1.216972727,EUR,," "
2020-12-30,1,1.216972727,EUR,," "
2020-12-31,1,1.216972727,EUR,," "
2021-01-04,1,1.217085,EUR,," "
2021-01-05,1,1.217085,EUR,," "
2021-01-06,1,1.217085,EUR,," "
2021-01-07,1,1.217085,EUR,," "
2021-01-08,1,1.217085,EUR,," "
2021-01-11,1,1.217085,EUR,," "
2021-01-12,1,1.217085,EUR,," "
2021-01-13,1,1.217085,EUR,," "
2021-01-14,1,1.217085,EUR,," "
2021-01-15,1,1.217085,EUR,," "
2021-01-18,1,1.217085,EUR,," "
2021-01-19,1,1.217085,EUR,," "
2021-01-20,1,1.217085,EUR,," "
2021-01-21,1,1.217085,EUR,," "
2021-01-22,1,1.217085,EUR,," "
2021-01-25,1,1.217085,EUR,," "
2021-01-26,1,1.217085,EUR,," "
2021-01-27,1,1.217085,EUR,," "
2021-01-28,1,1.217085,EUR,," "
2021-01-29,1,1.217085,EUR,33.51," "
2021-02-01,1,1.20979,EUR,32.66," "
2021-02-02,1,1.20979,EUR,33.2," "
2021-02-03,1,1.20979,EUR,38," "
2021-02-04,1,1.20979,EUR,36.51," "
2021-02-05,1,1.20979,EUR,37.61," "
2021-02-08,1,1.20979,EUR,38.62," "
2021-02-09,1,1.20979,EUR,37.58," "
2021-02-10,1,1.20979,EUR,37.7," "
2021-02-11,1,1.20979,EUR,39.62," "
2021-02-12,1,1.20979,EUR,37.8," "
2021-02-15,1,1.20979,EUR,39.82," "
2021-02-16,1,1.20979,EUR,40.19," "
2021-02-17,1,1.20979,EUR,38.42," "
2021-02-18,1,1.20979,EUR,38.01," "
2021-02-19,1,1.20979,EUR,38.36," "
2021-02-22,1,1.20979,EUR,36.84," "
2021-02-23,1,1.20979,EUR,37.5," "
2021-02-24,1,1.20979,EUR,38.42," "
2021-02-25,1,1.20979,EUR,38.88," "
2021-02-26,1,1.20979,EUR,37.51," "
2021-03-01,1,1.189908696,EUR,37.66," "
2021-03-02,1,1.189908696,EUR,37.25," "
2021-03-03,1,1.189908696,EUR,37.56," "
2021-03-04,1,1.189908696,EUR,36.9," "
2021-03-05,1,1.189908696,EUR,38.08," "
2021-03-08,1,1.189908696,EUR,38.41," "
2021-03-09,1,1.189908696,EUR,39.4," "
2021-03-10,1,1.189908696,EUR,41," "
2021-03-11,1,1.189908696,EUR,40.92," "
2021-03-12,1,1.189908696,EUR,41.52," "
2021-03-15,1,1.189908696,EUR,42.84," "
2021-03-16,1,1.189908696,EUR,41.92," "
2021-03-17,1,1.189908696,EUR,41.9," "
2021-03-18,1,1.189908696,EUR,43.35," "
2021-03-19,1,1.189908696,EUR,41.91," "
2021-03-22,1,1.189908696,EUR,41.8," "
2021-03-23,1,1.189908696,EUR,41.77," "
2021-03-24,1,1.189908696,EUR,40.94," "
2021-03-25,1,1.189908696,EUR,40.69," "
2021-03-26,1,1.189908696,EUR,40.86," "
2021-03-29,1,1.189908696,EUR,40.71," "
2021-03-30,1,1.189908696,EUR,42.25," "
2021-03-31,1,1.189908696,EUR,42.26," "
2021-04-01,1,1.19791,EUR,42.04," "
2021-04-06,1,1.19791,EUR,43.05," "
2021-04-07,1,1.19791,EUR,43.63," "
2021-04-08,1,1.19791,EUR,43.45," "
2021-04-09,1,1.19791,EUR,43.18," "
2021-04-12,1,1.19791,EUR,43.86," "
2021-04-13,1,1.19791,EUR,44.1," "
2021-04-14,1,1.19791,EUR,43.53," "
2021-04-15,1,1.19791,EUR,43.99," "
2021-04-16,1,1.19791,EUR,44.5," "
2021-04-19,1,1.19791,EUR,44.66," "
2021-04-20,1,1.19791,EUR,44.2," "
2021-04-21,1,1.19791,EUR,44.85," "
2021-04-22,1,1.19791,EUR,46.6," "
2021-04-23,1,1.19791,EUR,46.41," "
2021-04-26,1,1.19791,EUR,47.24," "
2021-04-27,1,1.19791,EUR,46.55," "
2021-04-28,1,1.19791,EUR,48," "
2021-04-29,1,1.19791,EUR,47.25," "
2021-04-30,1,1.19791,EUR,47.68," "
2021-05-03,1,1.214590476,EUR,," "
2021-05-04,1,1.214590476,EUR,49.33," "
2021-05-05,1,1.214590476,EUR,48.62," "
2021-05-06,1,1.214590476,EUR,49.45," "
2021-05-07,1,1.214590476,EUR,49.46," "
2021-05-10,1,1.214590476,EUR,51.81," "
2021-05-11,1,1.214590476,EUR,51.59," "
2021-05-12,1,1.214590476,EUR,54.22," "
2021-05-13,1,1.214590476,EUR,," "
2021-05-14,1,1.214590476,EUR,," "
2021-05-17,1,1.214590476,EUR,55.57," "
2021-05-18,1,1.214590476,EUR,55.53," "
2021-05-19,1,1.214590476,EUR,52.12," "
2021-05-20,1,1.214590476,EUR,50.84," "
2021-05-21,1,1.214590476,EUR,52.71," "
2021-05-24,1,1.214590476,EUR,," "
2021-05-25,1,1.214590476,EUR,53.09," "
2021-05-26,1,1.214590476,EUR,54.07," "
2021-05-27,1,1.214590476,EUR,52.11," "
2021-05-28,1,1.214590476,EUR,51.08," "
2021-05-31,1,1.214590476,EUR,," "
2021-06-01,1,1.204709091,EUR,52.58," "
2021-06-02,1,1.204709091,EUR,51.5," "
2021-06-03,1,1.204709091,EUR,51.9," "
2021-06-04,1,1.204709091,EUR,49.55," "
2021-06-07,1,1.204709091,EUR,48.56," "
2021-06-08,1,1.204709091,EUR,52.03," "
2021-06-09,1,1.204709091,EUR,53.7," "
2021-06-10,1,1.204709091,EUR,53.3," "
2021-06-11,1,1.204709091,EUR,53.12," "
2021-06-14,1,1.204709091,EUR,53.6," "
2021-06-15,1,1.204709091,EUR,51.18," "
2021-06-16,1,1.204709091,EUR,50.83," "
2021-06-17,1,1.204709091,EUR,50.84," "
2021-06-18,1,1.204709091,EUR,51.51," "
2021-06-21,1,1.204709091,EUR,52.09," "
2021-06-22,1,1.204709091,EUR,52.97," "
2021-06-23,1,1.204709091,EUR,53.62," "
2021-06-24,1,1.204709091,EUR,54.85," "
2021-06-25,1,1.204709091,EUR,55.69," "
2021-06-28,1,1.204709091,EUR,55.06," "
2021-06-29,1,1.204709091,EUR,55.39," "
2021-06-30,1,1.204709091,EUR,55.57," "
2021-07-01,1,1.182181818,EUR,58.01," "
2021-07-02,1,1.182181818,EUR,57.11," "
2021-07-05,1,1.182181818,EUR,57.91," "
2021-07-06,1,1.182181818,EUR,57.15," "
2021-07-07,1,1.182181818,EUR,53.15," "
2021-07-08,1,1.182181818,EUR,51.09," "
2021-07-09,1,1.182181818,EUR,53.85," "
2021-07-12,1,1.182181818,EUR,52.5," "
2021-07-13,1,1.182181818,EUR,52.44," "
2021-07-14,1,1.182181818,EUR,52," "
2021-07-15,1,1.182181818,EUR,52.28," "
2021-07-16,1,1.182181818,EUR,53.33," "
2021-07-19,1,1.182181818,EUR,53.55," "
2021-07-20,1,1.182181818,EUR,51.74," "
2021-07-21,1,1.182181818,EUR,51.7," "
2021-07-22,1,1.182181818,EUR,51.44," "
2021-07-23,1,1.182181818,EUR,50.13," "
2021-07-26,1,1.182181818,EUR,51.79," "
2021-07-27,1,1.182181818,EUR,52.8," "
2021-07-28,1,1.182181818,EUR,53.45," "
2021-07-29,1,1.182181818,EUR,54.02," "
2021-07-30,1,1.182181818,EUR,53," "
2021-08-02,1,1.177181818,EUR,54.6," "
2021-08-03,1,1.177181818,EUR,54.17," "
2021-08-04,1,1.177181818,EUR,55," "
2021-08-05,1,1.177181818,EUR,54.84," "
2021-08-06,1,1.177181818,EUR,56.72," "
2021-08-09,1,1.177181818,EUR,56," "
2021-08-10,1,1.177181818,EUR,57.1," "
2021-08-11,1,1.177181818,EUR,56.69," "
2021-08-12,1,1.177181818,EUR,57.36," "
2021-08-13,1,1.177181818,EUR,55.6," "
2021-08-16,1,1.177181818,EUR,57.18," "
2021-08-17,1,1.177181818,EUR,57.4," "
2021-08-18,1,1.177181818,EUR,57.7," "
2021-08-19,1,1.177181818,EUR,55.81," "
2021-08-20,1,1.177181818,EUR,54.4," "
2021-08-23,1,1.177181818,EUR,55.95," "
2021-08-24,1,1.177181818,EUR,55.72," "
2021-08-25,1,1.177181818,EUR,56.63," "
2021-08-26,1,1.177181818,EUR,55.61," "
2021-08-27,1,1.177181818,EUR,57.51," "
2021-08-30,1,1.177181818,EUR,," "
2021-08-31,1,1.177181818,EUR,60.11," "
2021-09-01,1,1.177031818,EUR,61.29," "
2021-09-02,1,1.177031818,EUR,," "
2021-09-03,1,1.177031818,EUR,61.25," "
2021-09-06,1,1.177031818,EUR,62.87," "
2021-09-07,1,1.177031818,EUR,61.71," "
2021-09-08,1,1.177031818,EUR,61.93," "
2021-09-09,1,1.177031818,EUR,61.98," "
2021-09-10,1,1.177031818,EUR,61.85," "
2021-09-13,1,1.177031818,EUR,61.91," "
2021-09-14,1,1.177031818,EUR,61.51," "
2021-09-15,1,1.177031818,EUR,60," "
2021-09-16,1,1.177031818,EUR,59.89," "
2021-09-17,1,1.177031818,EUR,59.6," "
2021-09-20,1,1.177031818,EUR,58.56," "
2021-09-21,1,1.177031818,EUR,60.31," "
2021-09-22,1,1.177031818,EUR,60.02," "
2021-09-23,1,1.177031818,EUR,59.45," "
2021-09-24,1,1.177031818,EUR,61.24," "
2021-09-27,1,1.177031818,EUR,64," "
2021-09-28,1,1.177031818,EUR,65," "
2021-09-29,1,1.177031818,EUR,61.83," "
2021-09-30,1,1.177031818,EUR,61.37," "
2021-10-01,1,1.160147619,EUR,62.04," "
2021-10-04,1,1.160147619,EUR,63.56," "
2021-10-05,1,1.160147619,EUR,63.66," "
2021-10-06,1,1.160147619,EUR,61.36," "
2021-10-07,1,1.160147619,EUR,58.99," "
2021-10-08,1,1.160147619,EUR,59.92," "
2021-10-11,1,1.160147619,EUR,59.33," "
2021-10-12,1,1.160147619,EUR,58.86," "
2021-10-13,1,1.160147619,EUR,58.75," "
2021-10-14,1,1.160147619,EUR,59.43," "
2021-10-15,1,1.160147619,EUR,61.01," "
2021-10-18,1,1.160147619,EUR,58.85," "
2021-10-19,1,1.160147619,EUR,57.58," "
2021-10-20,1,1.160147619,EUR,56," "
2021-10-21,1,1.160147619,EUR,57.1," "
2021-10-22,1,1.160147619,EUR,59.5," "
2021-10-25,1,1.160147619,EUR,58.94," "
2021-10-26,1,1.160147619,EUR,58.96," "
2021-10-27,1,1.160147619,EUR,58.92," "
2021-10-28,1,1.160147619,EUR,58.93," "
2021-10-29,1,1.160147619,EUR,59.4," "
2021-11-01,1,1.141404545,EUR,59.98," "
2021-11-02,1,1.141404545,EUR,57.8," "
2021-11-03,1,1.141404545,EUR,59.78," "
2021-11-04,1,1.141404545,EUR,59.81," "
2021-11-05,1,1.141404545,EUR,61.05," "
2021-11-08,1,1.141404545,EUR,60.06," "
2021-11-09,1,1.141404545,EUR,60.11," "
2021-11-10,1,1.141404545,EUR,61.53," "
2021-11-11,1,1.141404545,EUR,62.31," "
2021-11-12,1,1.141404545,EUR,63.53," "
2021-11-15,1,1.141404545,EUR,64.4," "
2021-11-16,1,1.141404545,EUR,67.5," "
2021-11-17,1,1.141404545,EUR,67.14," "
2021-11-18,1,1.141404545,EUR,66.51," "
2021-11-19,1,1.141404545,EUR,69.21," "
2021-11-22,1,1.141404545,EUR,69.7," "
2021-11-23,1,1.141404545,EUR,69.88," "
2021-11-24,1,1.141404545,EUR,69.51," "
2021-11-25,1,1.141404545,EUR,72.15," "
2021-11-26,1,1.141404545,EUR,71.95," "
2021-11-29,1,1.141404545,EUR,74.48," "
2021-11-30,1,1.141404545,EUR,74.82," "
2021-12-01,1,1.130378261,EUR,76.38," "
2021-12-02,1,1.130378261,EUR,77.1," "
2021-12-03,1,1.130378261,EUR,78.76," "
2021-12-06,1,1.130378261,EUR,80," "
2021-12-07,1,1.130378261,EUR,82.87," "
2021-12-08,1,1.130378261,EUR,87.45," "
2021-12-09,1,1.130378261,EUR,84.93," "
2021-12-10,1,1.130378261,EUR,79.83," "
2021-12-13,1,1.130378261,EUR,85," "
2021-12-14,1,1.130378261,EUR,79.99," "
2021-12-15,1,1.130378261,EUR,79.29," "
2021-12-16,1,1.130378261,EUR,80.5," "
2021-12-17,1,1.130378261,EUR,82.25," "
2021-12-20,1,1.130378261,EUR,74.57," "
2021-12-21,1,1.130378261,EUR,," "
2021-12-22,1,1.130378261,EUR,," "
2021-12-23,1,1.130378261,EUR,," "
2021-12-27,1,1.130378261,EUR,," "
2021-12-28,1,1.130378261,EUR,," "
2021-12-29,1,1.130378261,EUR,," "
2021-12-30,1,1.130378261,EUR,," "
2021-12-31,1,1.130378261,EUR,," "
2022-01-03,1,1.131447619,EUR,," "
2022-01-04,1,1.131447619,EUR,," "
2022-01-05,1,1.131447619,EUR,," "
2022-01-06,1,1.131447619,EUR,," "
2022-01-07,1,1.131447619,EUR,," "
2022-01-10,1,1.131447619,EUR,82.71," "
2022-01-11,1,1.131447619,EUR,81.9," "
2022-01-12,1,1.131447619,EUR,," "
2022-01-13,1,1.131447619,EUR,79.05," "
2022-01-14,1,1.131447619,EUR,81.52," "
2022-01-17,1,1.131447619,EUR,80.21," "
2022-01-18,1,1.131447619,EUR,79.22," "
2022-01-19,1,1.131447619,EUR,80.7," "
2022-01-20,1,1.131447619,EUR,80.8," "
2022-01-21,1,1.131447619,EUR,84.03," "
2022-01-24,1,1.131447619,EUR,85.75," "
2022-01-25,1,1.131447619,EUR,84.48," "
2022-01-26,1,1.131447619,EUR,," "
2022-01-27,1,1.131447619,EUR,88.51," "
2022-01-28,1,1.131447619,EUR,89.25," "
2022-01-31,1,1.131447619,EUR,88.03," "
2022-02-01,1,1.13419,EUR,," "
2022-02-02,1,1.13419,EUR,91.61," "
2022-02-03,1,1.13419,EUR,92.65," "
2022-02-04,1,1.13419,EUR,94.65," "
2022-02-07,1,1.13419,EUR,93.5," "
2022-02-08,1,1.13419,EUR,97.51," "
2022-02-09,1,1.13419,EUR,96.53," "
2022-02-10,1,1.13419,EUR,90.6," "
2022-02-11,1,1.13419,EUR,89.98," "
2022-02-14,1,1.13419,EUR,90.73," "
2022-02-15,1,1.13419,EUR,90.35," "
2022-02-16,1,1.13419,EUR,88.05," "
2022-02-17,1,1.13419,EUR,87.5," "
2022-02-18,1,1.13419,EUR,87.65," "
2022-02-21,1,1.13419,EUR,87.99," "
2022-02-22,1,1.13419,EUR,88.4," "
2022-02-23,1,1.13419,EUR,92.8," "
2022-02-24,1,1.13419,EUR,88," "
2022-02-25,1,1.13419,EUR,86.9," "
2022-02-28,1,1.13419,EUR,80.92," "
2022-03-01,1,1.101895652,EUR,79.96," "
2022-03-02,1,1.101895652,EUR,," "
2022-03-03,1,1.101895652,EUR,63.87," "
2022-03-04,1,1.101895652,EUR,67.22," "
2022-03-07,1,1.101895652,EUR,57.91," "
2022-03-08,1,1.101895652,EUR,62.01," "
2022-03-09,1,1.101895652,EUR,," "
2022-03-10,1,1.101895652,EUR,70.04," "
2022-03-11,1,1.101895652,EUR,76.5," "
2022-03-14,1,1.101895652,EUR,78.6," "
2022-03-15,1,1.101895652,EUR,75.55," "
2022-03-16,1,1.101895652,EUR,75.25," "
2022-03-17,1,1.101895652,EUR,76.87," "
2022-03-18,1,1.101895652,EUR,79.21," "
2022-03-21,1,1.101895652,EUR,77.76," "
2022-03-22,1,1.101895652,EUR,79.05," "
2022-03-23,1,1.101895652,EUR,," "
2022-03-24,1,1.101895652,EUR,76.15," "
2022-03-25,1,1.101895652,EUR,78.5," "
2022-03-28,1,1.101895652,EUR,80.76," "
2022-03-29,1,1.101895652,EUR,80.51," "
2022-03-30,1,1.101895652,EUR,77.22," "
2022-03-31,1,1.101895652,EUR,79.25," "
2022-04-01,1,1.081873684,EUR,78," "
2022-04-04,1,1.081873684,EUR,77.5," "
2022-04-05,1,1.081873684,EUR,78.33," "
2022-04-06,1,1.081873684,EUR,78.34," "
2022-04-07,1,1.081873684,EUR,77.13," "
2022-04-08,1,1.081873684,EUR,80.21," "
2022-04-11,1,1.081873684,EUR,79.02," "
2022-04-12,1,1.081873684,EUR,77.36," "
2022-04-13,1,1.081873684,EUR,77.27," "
2022-04-14,1,1.081873684,EUR,78.8," "
2022-04-19,1,1.081873684,EUR,79.4," "
2022-04-20,1,1.081873684,EUR,," "
2022-04-21,1,1.081873684,EUR,85.9," "
2022-04-22,1,1.081873684,EUR,87.4," "
2022-04-25,1,1.081873684,EUR,85.81," "
2022-04-26,1,1.081873684,EUR,83.43," "
2022-04-27,1,1.081873684,EUR,79.99," "
2022-04-28,1,1.081873684,EUR,80.55," "
2022-04-29,1,1.081873684,EUR,82.86," "
2022-05-02,1,1.05785,EUR,82.84," "
2022-05-03,1,1.05785,EUR,84.25," "
2022-05-04,1,1.05785,EUR,," "
2022-05-05,1,1.05785,EUR,87.8," "
2022-05-06,1,1.05785,EUR,90.77," "
2022-05-09,1,1.05785,EUR,90.11," "
2022-05-10,1,1.05785,EUR,86.5," "
2022-05-11,1,1.05785,EUR,89," "
2022-05-12,1,1.05785,EUR,86.95," "
2022-05-13,1,1.05785,EUR,88.75," "
2022-05-16,1,1.05785,EUR,88.81," "
2022-05-17,1,1.05785,EUR,90.33," "
2022-05-18,1,1.05785,EUR,87.25," "
2022-05-19,1,1.05785,EUR,82.28," "
2022-05-20,1,1.05785,EUR,81.15," "
2022-05-23,1,1.05785,EUR,78.96," "
2022-05-24,1,1.05785,EUR,78.88," "
2022-05-25,1,1.05785,EUR,80.43," "
2022-05-26,1,1.05785,EUR,," "
2022-05-27,1,1.05785,EUR,," "
2022-05-30,1,1.05785,EUR,83.75," "
2022-05-31,1,1.05785,EUR,83.63," "
2022-06-01,1,1.056581818,EUR,," "
2022-06-02,1,1.056581818,EUR,," "
2022-06-03,1,1.056581818,EUR,," "
2022-06-06,1,1.056581818,EUR,," "
2022-06-07,1,1.056581818,EUR,81.69," "
2022-06-08,1,1.056581818,EUR,79.11," "
2022-06-09,1,1.056581818,EUR,80.21," "
2022-06-10,1,1.056581818,EUR,80.73," "
2022-06-13,1,1.056581818,EUR,80.1," "
2022-06-14,1,1.056581818,EUR,82.31," "
2022-06-15,1,1.056581818,EUR,84.45," "
2022-06-16,1,1.056581818,EUR,85.95," "
2022-06-17,1,1.056581818,EUR,83," "
2022-06-20,1,1.056581818,EUR,83.51," "
2022-06-21,1,1.056581818,EUR,84.26," "
2022-06-22,1,1.056581818,EUR,83.06," "
2022-06-23,1,1.056581818,EUR,81.07," "
2022-06-24,1,1.056581818,EUR,82.9," "
2022-06-27,1,1.056581818,EUR,83.01," "
2022-06-28,1,1.056581818,EUR,84.54," "
2022-06-29,1,1.056581818,EUR,," "
2022-06-30,1,1.056581818,EUR,88.02," "
2022-07-01,1,1.017890476,EUR,88.22," "
2022-07-04,1,1.017890476,EUR,84.34," "
2022-07-05,1,1.017890476,EUR,83.38," "
2022-07-06,1,1.017890476,EUR,82.63," "
2022-07-07,1,1.017890476,EUR,83.36," "
2022-07-08,1,1.017890476,EUR,82.63," "
2022-07-11,1,1.017890476,EUR,83.4," "
2022-07-12,1,1.017890476,EUR,83.89," "
2022-07-13,1,1.017890476,EUR,," "
2022-07-14,1,1.017890476,EUR,83," "
2022-07-15,1,1.017890476,EUR,83.71," "
2022-07-18,1,1.017890476,EUR,83.33," "
2022-07-19,1,1.017890476,EUR,83.61," "
2022-07-20,1,1.017890476,EUR,81.22," "
2022-07-21,1,1.017890476,EUR,77.6," "
2022-07-22,1,1.017890476,EUR,78.06," "
2022-07-25,1,1.017890476,EUR,76.09," "
2022-07-26,1,1.017890476,EUR,76.51," "
2022-07-27,1,1.017890476,EUR,," "
2022-07-28,1,1.017890476,EUR,77.08," "
2022-07-29,1,1.017890476,EUR,77.96," "
2022-08-01,1,1.012843478,EUR,79.5," "
2022-08-02,1,1.012843478,EUR,80.51," "
2022-08-03,1,1.012843478,EUR,83.45," "
2022-08-04,1,1.012843478,EUR,83.81," "
2022-08-05,1,1.012843478,EUR,84.5," "
2022-08-08,1,1.012843478,EUR,84.6," "
2022-08-09,1,1.012843478,EUR,84.06," "
2022-08-10,1,1.012843478,EUR,," "
2022-08-11,1,1.012843478,EUR,86.35," "
2022-08-12,1,1.012843478,EUR,87.3," "
2022-08-15,1,1.012843478,EUR,89.5," "
2022-08-16,1,1.012843478,EUR,90.64," "
2022-08-17,1,1.012843478,EUR,94.07," "
2022-08-18,1,1.012843478,EUR,94," "
2022-08-19,1,1.012843478,EUR,96.87," "
2022-08-22,1,1.012843478,EUR,97.5," "
2022-08-23,1,1.012843478,EUR,92.52," "
2022-08-24,1,1.012843478,EUR,," "
2022-08-25,1,1.012843478,EUR,89.3," "
2022-08-26,1,1.012843478,EUR,89.56," "
2022-08-29,1,1.012843478,EUR,88.81," "
2022-08-30,1,1.012843478,EUR,85.13," "
2022-08-31,1,1.012843478,EUR,78.96," "
2022-09-01,1,0.990377273,EUR,77.01," "
2022-09-02,1,0.990377273,EUR,78.41," "
2022-09-05,1,0.990377273,EUR,73.75," "
2022-09-06,1,0.990377273,EUR,71.05," "
2022-09-07,1,0.990377273,EUR,69.06," "
2022-09-08,1,0.990377273,EUR,," "
2022-09-09,1,0.990377273,EUR,65.21," "
2022-09-12,1,0.990377273,EUR,65.96," "
2022-09-13,1,0.990377273,EUR,70.48," "
2022-09-14,1,0.990377273,EUR,68.29," "
2022-09-15,1,0.990377273,EUR,70.84," "
2022-09-16,1,0.990377273,EUR,71," "
2022-09-19,1,0.990377273,EUR,71.11," "
2022-09-20,1,0.990377273,EUR,70.38," "
2022-09-21,1,0.990377273,EUR,70.39," "
2022-09-22,1,0.990377273,EUR,69.88," "
2022-09-23,1,0.990377273,EUR,67.56," "
2022-09-26,1,0.990377273,EUR,66.02," "
2022-09-27,1,0.990377273,EUR,67.7," "
2022-09-28,1,0.990377273,EUR,64.71," "
2022-09-29,1,0.990377273,EUR,64.7," "
2022-09-30,1,0.990377273,EUR,66.87," "
2022-10-03,1,0.982566667,EUR,64.45," "
2022-10-04,1,0.982566667,EUR,66.17," "
2022-10-05,1,0.982566667,EUR,," "
2022-10-06,1,0.982566667,EUR,65.76," "
2022-10-07,1,0.982566667,EUR,67.52," "
2022-10-10,1,0.982566667,EUR,67.01," "
2022-10-11,1,0.982566667,EUR,66.34," "
2022-10-12,1,0.982566667,EUR,65.76," "
2022-10-13,1,0.982566667,EUR,66.65," "
2022-10-14,1,0.982566667,EUR,67.7," "
2022-10-17,1,0.982566667,EUR,66.25," "
2022-10-18,1,0.982566667,EUR,67.11," "
2022-10-19,1,0.982566667,EUR,68.62," "
2022-10-20,1,0.982566667,EUR,67.01," "
2022-10-21,1,0.982566667,EUR,67.9," "
2022-10-24,1,0.982566667,EUR,68.02," "
2022-10-25,1,0.982566667,EUR,74.17," "
2022-10-26,1,0.982566667,EUR,76.51," "
2022-10-27,1,0.982566667,EUR,77.1," "
2022-10-28,1,0.982566667,EUR,80.76," "
2022-10-31,1,0.982566667,EUR,78.69," "
2022-11-01,1,1.020127273,EUR,78.76," "
2022-11-02,1,1.020127273,EUR,," "
2022-11-03,1,1.020127273,EUR,76.63," "
2022-11-04,1,1.020127273,EUR,78.14," "
2022-11-07,1,1.020127273,EUR,76.75," "
2022-11-08,1,1.020127273,EUR,76.02," "
2022-11-09,1,1.020127273,EUR,75.35," "
2022-11-10,1,1.020127273,EUR,71.62," "
2022-11-11,1,1.020127273,EUR,73.33," "
2022-11-14,1,1.020127273,EUR,74.85," "
2022-11-15,1,1.020127273,EUR,74.93," "
2022-11-16,1,1.020127273,EUR,74.25," "
2022-11-17,1,1.020127273,EUR,73.31," "
2022-11-18,1,1.020127273,EUR,72.22," "
2022-11-21,1,1.020127273,EUR,73.36," "
2022-11-22,1,1.020127273,EUR,73.54," "
2022-11-23,1,1.020127273,EUR,74.08," "
2022-11-24,1,1.020127273,EUR,76.64," "
2022-11-25,1,1.020127273,EUR,79.36," "
2022-11-28,1,1.020127273,EUR,77.61," "
2022-11-29,1,1.020127273,EUR,78.88," "
2022-11-30,1,1.020127273,EUR,," "
2022-12-01,1,1.058880952,EUR,86.11," "
2022-12-02,1,1.058880952,EUR,85.21," "
2022-12-05,1,1.058880952,EUR,85.69," "
2022-12-06,1,1.058880952,EUR,86.48," "
2022-12-07,1,1.058880952,EUR,87," "
2022-12-08,1,1.058880952,EUR,87.91," "
2022-12-09,1,1.058880952,EUR,88.26," "
2022-12-12,1,1.058880952,EUR,88.35," "
2022-12-13,1,1.058880952,EUR,89.01," "
2022-12-14,1,1.058880952,EUR,," "
2022-12-15,1,1.058880952,EUR,86.16," "
2022-12-16,1,1.058880952,EUR,83.41," "
2022-12-19,1,1.058880952,EUR,84.1," "
2022-12-20,1,1.058880952,EUR,," "
2022-12-21,1,1.058880952,EUR,," "
2022-12-22,1,1.058880952,EUR,," "
2022-12-23,1,1.058880952,EUR,," "
2022-12-27,1,1.058880952,EUR,," "
2022-12-28,1,1.058880952,EUR,," "
2022-12-29,1,1.058880952,EUR,," "
2022-12-30,1,1.058880952,EUR,," "
2023-01-02,1,1.0769,EUR,," "
2023-01-03,1,1.0769,EUR,," "
2023-01-04,1,1.0769,EUR,," "
2023-01-05,1,1.0769,EUR,," "
2023-01-06,1,1.0769,EUR,," "
2023-01-09,1,1.0769,EUR,75.27," "
2023-01-10,1,1.0769,EUR,78.61," "
2023-01-11,1,1.0769,EUR,," "
2023-01-12,1,1.0769,EUR,76.8," "
2023-01-13,1,1.0769,EUR,76.42," "
2023-01-16,1,1.0769,EUR,75.05," "
2023-01-17,1,1.0769,EUR,75.04," "
2023-01-18,1,1.0769,EUR,76.25," "
2023-01-19,1,1.0769,EUR,82.06," "
2023-01-20,1,1.0769,EUR,81.01," "
2023-01-23,1,1.0769,EUR,81.52," "
2023-01-24,1,1.0769,EUR,80.88," "
2023-01-25,1,1.0769,EUR,78.29," "
2023-01-26,1,1.0769,EUR,83.51," "
2023-01-27,1,1.0769,EUR,86.71," "
2023-01-30,1,1.0769,EUR,85.2," "
2023-01-31,1,1.0769,EUR,86.68," "
2023-02-01,1,1.07151,EUR,91.91," "
2023-02-02,1,1.07151,EUR,93.5," "
2023-02-03,1,1.07151,EUR,91.15," "
2023-02-06,1,1.07151,EUR,91.78," "
2023-02-07,1,1.07151,EUR,87.52," "
2023-02-08,1,1.07151,EUR,," "
2023-02-09,1,1.07151,EUR,87.36," "
2023-02-10,1,1.07151,EUR,89.7," "
2023-02-13,1,1.07151,EUR,88.86," "
2023-02-14,1,1.07151,EUR,89.96," "
2023-02-15,1,1.07151,EUR,87.75," "
2023-02-16,1,1.07151,EUR,92.85," "
2023-02-17,1,1.07151,EUR,93.69," "
2023-02-20,1,1.07151,EUR,93.73," "
2023-02-21,1,1.07151,EUR,95.35," "
2023-02-22,1,1.07151,EUR,," "
2023-02-23,1,1.07151,EUR,93.26," "
2023-02-24,1,1.07151,EUR,95.83," "
2023-02-27,1,1.07151,EUR,95.12," "
2023-02-28,1,1.07151,EUR,96.33," "
2023-03-01,1,1.070582609,EUR,95.89," "
2023-03-02,1,1.070582609,EUR,93.25," "
2023-03-03,1,1.070582609,EUR,88.81," "
