,param_id,trial_id,param_name,param_value,distribution_json
32539,32540,1340,price_D-1,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32540,32541,1340,price_D-2,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32541,32542,1340,price_D-3,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32542,32543,1340,price_D-7,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32543,32544,1340,load_D,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32544,32545,1340,load_D-1,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32545,32546,1340,load_D-7,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32546,32547,1340,RES_D,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32547,32548,1340,RES_D-1,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32548,32549,1340,EUA,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32549,32550,1340,Coal,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32550,32551,1340,Gas,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32551,32552,1340,Oil,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32552,32553,1340,Dummy,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32553,32554,1340,dropout,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32554,32555,1340,regularize_h1_activation,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32555,32556,1340,regularize_h1_kernel,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32556,32557,1340,neurons_1,979.0,"{""name"": ""IntUniformDistribution"", ""attributes"": {""low"": 16, ""high"": 1024, ""step"": 1}}"
32557,32558,1340,activation_1,4.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [""sigmoid"", ""relu"", ""elu"", ""tanh"", ""softplus"", ""softmax""]}}"
32558,32559,1340,regularize_h2_activation,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32559,32560,1340,regularize_h2_kernel,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
32560,32561,1340,neurons_2,767.0,"{""name"": ""IntUniformDistribution"", ""attributes"": {""low"": 16, ""high"": 1024, ""step"": 1}}"
32561,32562,1340,activation_2,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [""sigmoid"", ""relu"", ""elu"", ""tanh"", ""softplus"", ""softmax""]}}"
32562,32563,1340,learning_rate,0.0005252223827375965,"{""name"": ""LogUniformDistribution"", ""attributes"": {""low"": 1e-05, ""high"": 0.1}}"
