,param_id,trial_id,param_name,param_value,distribution_json
50367,50368,2040,price_D-1,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50368,50369,2040,price_D-2,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50369,50370,2040,price_D-3,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50370,50371,2040,price_D-7,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50371,50372,2040,load_D,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50372,50373,2040,load_D-1,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50373,50374,2040,load_D-7,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50374,50375,2040,RES_D,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50375,50376,2040,RES_D-1,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50376,50377,2040,EUA,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50377,50378,2040,Coal,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50378,50379,2040,Gas,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50379,50380,2040,Oil,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50380,50381,2040,Dummy,0.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50381,50382,2040,dropout,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50382,50383,2040,regularize_h1_activation,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50383,50384,2040,regularize_h1_kernel,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50384,50385,2040,neurons_1,965.0,"{""name"": ""IntUniformDistribution"", ""attributes"": {""low"": 16, ""high"": 1024, ""step"": 1}}"
50385,50386,2040,activation_1,4.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [""sigmoid"", ""relu"", ""elu"", ""tanh"", ""softplus"", ""softmax""]}}"
50386,50387,2040,regularize_h2_activation,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50387,50388,2040,regularize_h2_kernel,1.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [true, false]}}"
50388,50389,2040,neurons_2,448.0,"{""name"": ""IntUniformDistribution"", ""attributes"": {""low"": 16, ""high"": 1024, ""step"": 1}}"
50389,50390,2040,activation_2,2.0,"{""name"": ""CategoricalDistribution"", ""attributes"": {""choices"": [""sigmoid"", ""relu"", ""elu"", ""tanh"", ""softplus"", ""softmax""]}}"
50390,50391,2040,learning_rate,0.00018507975361879274,"{""name"": ""LogUniformDistribution"", ""attributes"": {""low"": 1e-05, ""high"": 0.1}}"
